9808 100
0 28 2.558
0 51 2.883
0 79 2.835
0 90 2.445
0 91 3.352
0 96 2.295
0 118 1.901
0 125 2.639
0 130 1.831
0 145 2.731
0 160 2.499
0 161 2.811
0 163 2.304
0 170 2.906
0 190 2.512
0 226 2.544
0 238 2.752
0 296 1.988
0 358 2.506
0 418 2.834
0 438 3.938
0 470 1.705
1 49 3.209
1 114 3.034
1 133 3.276
1 142 2.297
1 174 2.314
1 195 2.797
1 223 3.205
1 229 2.611
1 234 3.088
1 235 2.625
1 280 3.063
1 326 2.6
1 328 3.298
1 348 2.406
1 354 2.703
1 382 3.582
1 391 2.545
1 405 3.14
2 3 2.441
2 8 2.217
2 29 2.154
2 82 2.761
2 103 2.14
2 139 1.972
2 143 1.884
2 154 2.553
2 193 1.943
2 201 2.335
2 207 3.13
2 230 2.069
2 247 1.495
2 295 1.909
2 302 2.658
2 318 2.671
2 344 2.127
2 345 2.398
2 363 2.014
2 397 2.415
2 459 2.543
3 78 2.838
3 96 2.64
3 99 2.589
3 140 3.067
3 205 2.661
3 212 2.655
3 215 2.79
3 216 3.385
3 252 2.359
3 271 2.571
3 309 3.017
3 342 3.068
3 362 3.013
3 366 2.941
3 372 1.927
3 400 2.927
3 414 2.704
3 439 2.839
3 475 2.394
4 7 2.878
4 12 2.289
4 27 2.005
4 32 2.563
4 35 2.308
4 38 2.955
4 49 3.153
4 73 1.852
4 100 2.305
4 123 2.235
4 137 2.219
4 184 1.991
4 207 3.111
4 217 2.177
4 299 2.614
4 322 2.741
4 333 2.546
4 347 2.279
4 383 2.392
4 395 1.64
4 474 3.025
4 492 2.201
5 8 3.16
5 56 4.027
5 64 2.427
5 91 3.817
5 116 2.818
5 166 4.576
5 213 3.987
5 308 3.623
5 335 2.698
5 361 2.354
5 428 3.813
5 430 3.638
5 438 4.857
5 442 2.87
5 474 4.201
5 482 2.701
6 21 1.424
6 51 2.371
6 57 2.443
6 71 1.915
6 72 2.043
6 78 2.647
6 89 2.692
6 90 1.872
6 91 2.334
6 97 1.897
6 102 2.097
6 139 1.743
6 146 1.356
6 150 2.059
6 181 2.321
6 220 1.664
6 239 2.655
6 358 1.938
6 388 2.365
6 431 2.327
6 434 2.022
6 446 2.598
6 475 2.055
7 27 2.575
7 49 4.427
7 54 3.789
